Italiano,Bresciano
persona di scarsa personalità e serietà,bigol
che palle,che bala
balla di fieno,bala de fé
io vado a casa,me 'ndó a ca'
davanti a,denàcc de
mi ha fregato,el m'a encülàt
abbracciare,brasà sö
l’altro ieri,giér pasàt
devo andare,gó de na
pollice,dit gròs
upupa,blu böba
tonto,blu böba
dover,iga de
mollica,mòl del pa
una volta,'na ólta
polenta è uccelli,polènta e ozèi
l’anno scorso,l’an pasàt
veloce,de ónda
un sacco di pecore,en ròs de pégore
poi dopo,pò dòpo
di solito,de sòlit
ancora una volta,amò turna
melograno,pòm grà
dopodomani,pasàt domà
appendere,tacà vià
ha sbagliato un'altra volta,l'è turnàt a sbaglià
non gli piaccio proprio,el me uzmà mia
a,a
abbazia,abasia
valle,val
aglio,ai
amore,amùr
anno,an
andare,andà
ancora,amò
anima,anima
acqua,aqua
pioggia,aqua
arrabbiare,arabià
arrabbiarsi,arabiàs
arancia,arancia
arancione,arancio
aria,aria
mignolo,armilì
arrosto,aròst
carciofo,articiòc
abbastanza,asé
aggeggio,argàgn
argento,arzènt
pancia,baga
cornamusa lombarda con due soli bordoni,baghèt
abbaiare,baià
baita,baita
palla,bala
balla,bala
bugia,bala
ubriacatura,bala
ubriacarsi seriamente,ciapà 'na bröta bala
testicolo,bala
gioco praticato in piazza specie in al rompia,bala
battendo una palla da tennis con le mani,bala
balcone,balcù
monello,balòs
birichino,balòs
pallone,balù
barba,barba
briccone,barba
brigante,barba
cianfrusaglia,barbài
oggetto inutile,barbài
basso,bas
bassa bresciana,basa
ciotola,bazia
baciare,bazà
bello,bèl
bianco,biànc
litigare,bigà
bere,beèr
bisogna,besogna
grembiule,bigaröl
spaghetto,bigol
groppo,bigol
ombelico,bigol
pene,bigol
calesse,biròcc
blu,blö
cadere,borlà
truciolo da pialla del legno,bòsgia
botto,bòt
l'una,bòt
botta,bòta
braccio,bras
brutto,bröt
casa,ca'
cane,ca
cavallo,caàl
cagare,cagà
callo,cal
calza,calsèt
caldo,calt
capo,capo
caro,car
carro,car
cazzata,casada
cazzo,caso
casa,caza
ha,gà
cià,gà
caso,cazo
cielo,cél
qui,ché
che,che
chiavare,ciaà
scopare,ciaà
fregare,ciaà
tipico gioco in legno,ciàncol
persona poco seria,ciàncol
prendere,ciapà
chiaro,ciar
sputare,cicà
sputo,cicada
testa,có
capo,có
mondo,mónt
coglioni,coióni
testicoli,coióni
che,che
coniglio,conécc
contare,cöntà
raccontare,cöntà
coda,cua
cucchiaio,cügià
cucchiaio,cügiàr
culo,cül
comune,cümü
corto,cürt
giorno,dé
di,de
da,de
davanti,denàcc
dieci,dés
dire,di
dire,di sö
recitare,di sö
ditale,didàl
diciotto,disdòt
dizionario,disionare
diciannove,disnöf
dito,dit
diciassette,dizisèt
domani,domà
due,dò
dopo,dòpo
due,du
dodici,dudes
duro,dür
dovere,düzì
e,e
in,en
oggi,encö
pomeriggio,dopomesdé
inculare,encülà
fregare,encülà
il,el
lui,el
vaffanculo,encület
insieme,ensèma
intero,entréc
fare,fa
molto,fés
alito,fiàt
fiato,fiàt
gioco del calcio,fóbal
pallone,fóbal
fretta,frèsa
freddo,frèt
solletico,gatìgol
nebbia fitta,ghèba
padrino,ghidàs
madrina,ghidàsa
ieri,giér
girare,girà
uno,giü
vomitare,gometà
gomito,gombèt
grande,grant
grasso,gras
pipistrello,gregnapola
nodo,gróp
grosso,gròs
idea,idèa
avere,iga
devo,gó
uguale,istès
lo stesso,istès
la,la
là,là
lago,lac
lavorare,laorà
largo,larc
lardo,lart
lasciare,lasà
cosa,laùr
lì,lé
levare,lià
alzare,lià
alzarsi,lià sö
lungo,lónc
ombelico,luì
ma,ma
magro,magher
muratore,magut
mai,mai
male,mal
malghese,malghés
mandriano,malghés
immaturo,malmadür
malmostoso,malmustùs
scorbutico,malmustùs
musone,malmustùs
malnata,malnada
malnato,malnàt
maniglia,manèsa
mangiare,mangià
manovale,manöal
fragola,maola
mare,mar
falegname,maringù
calabrone,martinèl
marrone,marù
testicoli,marù
io,mé
me,mé
menare,menà
accompagnare,menà
picchiare,menà
mezzo,mès
mese,més
mille,mile
miliardo,miliardo
milione,miliù
molle,mòl
monaca,mònega
dispensa pensile con zanzariera,moscaröla
moccio,moségn
morose,muruze
fidanzate,muruze
andare,andà
uscire con qualcuno,andà
avere una relazione,andà
nascere,naser
vado,'ndó
nebbia,nèbia
anitra,nèdra
neve,néf
annegare,negà
negare,negà
nero,négher
nuvola,nigol
nuvoloso,nigol
no,nò
non,no
notte,nòt
novanta,noanta
novantuno,novantü
nuovo,nöf
nove,nöf
noi,nóter
funerale,óbet
volta,ólta
arco,ólta
voltare,oltà
onda,ónda
undici,öndès
accidenti,òstrega
caspita,òstrega
otto,òt
ottanta,otanta
ottantuno,otantü
divano,otomana
uccello,ozèl
pene,ozèl
palmo,palmös
pagliaccio,paiàso
partiamo,partöm
andiamo,nöm
gradino,panèl
sberla,papina
pentola,paröl
passare,pasà
scorso,pasàt
passato,pasàt
appassito,pasàt
non più maturo,pasàt
andato a male,pasàt
