Padre nostro	Pader nòster
cieli	ciel
Nome	nòmm
Regno	regn
Volontà	vorè
terra	terra
oggi	incoeu
pane	pan
quotidiano	tucc i dì
peccati	peccaa
noi	num
Male	maa
che sei nei cieli	che te seet in ciel
sia santificato il tuo Nome	che 'l sia faa sant el tò nòmm
venga il tuo Regno	che 'l vegna el tò regn
sia fatta la tua Volontà	che 'l sia faa 'l tò vorè
come in cielo	come in ciel
così in terra	inscì anca in su la terra
Dacci oggi il nostro pane quotidiano	Dann incoeu el nòster pan de tucc i dì
e rimetti a noi i nostri debiti	e perdonon i nòster peccaa
come noi li rimettiamo ai nostri debitori	inscì come anca num ghe perdonom a quij che n'hann faa on tòrt
e non ci indurre in tentazione	E menon minga in de la tentazion
ma liberaci dal Male	ma liberon del maa
Così sia	e che 'l sia inscì
Pera	el per
Mela	el pòmm
Arancia	el narànz
Fico	el figh
Pesca	el pèrsegh
Ribes	el ribes
Mandarino	el mandarin
Lampone	el fambrôs
Ciliegia	la scirésa
Fragola	la magiostra
Noce	la nôs
Albicocca	la mognaga
Prugna	la brugna
Nocciola	la niscioeula
Mora	la mòra
Uva	l'uga
Acino (d'uva)	el pinciroeu
Nespola	la nèspola
Pinolo	el pignoeu
Prudere	spiurì
Prezzemolo	l'erborin
Sedano	el sèller
Cadere	borlà giò
Scivolare	scarligà
Schiacciare	spetascià
Pranzo al sacco	la schiscetta
Aprire	dervì
Chiudere	sarà su
Luce	el ciar
Casa	la cà
Uovo	l'oeuf
Occhio	l'oeucc
Bocca	la bocca
Testa	el coo
Braccio	el brasc
Gamba	la gamba
Cuore	el coeur
Schiena	la s'cenna
Culo	el cuu
Essere (io sono)	vess (mì son(t))
Essere (tu sei)	vess (tì te see(t))
Essere (lui/lei è)	vess (lù/lee l'è)
Essere (noi siamo)	vess (nun semm)
Essere (voi siete)	vess (vujolter sii)
Essere (loro sono)	vess (lor (a) hin)
Avere (io ho)	avé (mì hoo)
Avere (tu hai)	avé (tì t'hee(t))
Avere (lui/lei ha)	avé (lù/lee l'ha)
Avere (noi abbiamo)	avé (nun emm)
Avere (voi avete)	avé (vujolter hii)
Avere (loro hanno)	avé (lor han)
Cosa bella in apparenza, ma di poco valore	Bosée
Addetto al trasporto e seppellimento di animali morti in città	Ciocchin
Lanugine superiore del seme di alcune piante	Pappi
Regoli appiccati con funicelle ai licci del pettine	Càlcor
Tetto	tècc
Duro	dur
Odore	odor
Addosso	addoss
Olona (fiume)	Ulona
(Persona) perdente	Babbo
Ciao/Salve (informale)	Bella
Perdere tempo/Oziare	Cazzeggiare
Molto/Tantissimo	Di Brutto
Buona fortuna	In bocca al lupo
Baciare con la lingua	Limonare
Fantastico/Eccezionale	Paura
Riprendersi/Rimettersi	Ripigliarsi
Fastidio/Seccatura	Sbatti
Fantastico/Una figata	Tanta roba
Ottimo/Ok/Approvazione	Top
Tamarro/Truzzo	Zarro
Amico/Compagno	Zio
Molto/Un sacco	un botto
Arrogante/Spocchioso	bauscia
Non preoccuparti/Stai tranquillo	tranqui
Voglio andare al mercato	Vöri andà al mercaa
Signora (donna elegante)	sciura
Traffico/Caos	casino
Idiota/Stupido	pirla
