italiano,traduzione
a,a
acqua,aqua
andare,andà
anno,an
bello,bèl
bere,beèr
braccio,bras
brutto,bröt
caldo,calt
cane,ca
capo,capo
casa,ca'
cavallo,caàl
che,che
cielo,cél
cinque,sic
coda,cua
comune,cümü
contare,cöntà
corto,cürt
cucchiaio,cügià
culo,cül
cuore,cör
davanti,denàcc
di,de
dire,di
domani,domà
donna,fómna
dopodomani,pasàt domà
dovere,düzì
due,dò
fare,fa
freddo,frèt
giorno,dé
grande,grant
ieri,giér
lavorare,laorà
mai,mai
mangiare,mangià
mare,mar
melograno,pòm grà
mollica,mòl del pa
nove,nöf
nuovo,nöf
oggi,encö
otto,òt
piccolo,pesèn
piede,pè
pioggia,aqua
poco,póc
pollice,dit gròs
prendere,ciapà
quattro,quater
qui,ché
sedia,scagna
sei,sés
sette,sèt
sole,sul
tanto,tant
tavolo,taol
testa,có
tre,tré
tutto,töt
uno,giü
vecchio,vècc
veloce,de ónda
venire,vègner
volere,völer
volta,ólta
