italiano,traduzione
acqua,acque
adesso,mo
andare,jì
anno,anne
bambino,cìtele
bello,belle
bere,beve
brutto,brutte
casa,case
cento,cende
come,gne
con,nghe
così,accuscì
domani,dumane
donna,fémmene
dormire,durmì
dove,addò
fatica,fatije
figlio,fije
formaggio,casce
fratello,frate
freddo,fridde
gatto,jatte
giorno,jurne
grande,granne
ieri,ajére
il,lu
la,la
lavorare,fatijà
mamma,mamme
mangiare,magnà
mondo,munne
niente,ninde
padre,pàtre
paese,pahese
pane,pane
parlare,parlà
più,cchiù
quando,quande
ragazzo,quatrane
soldi,sòlde
sole,sole
sorella,sòre
terra,terre
testa,cocce
uomo,omme
vecchio,vicchie
vino,vine
