italiano,traduzione
adesso,mo
andare,jiri
bello,bellu
bere,viviri
buongiorno,bonjornu
buono,bonu
cane,cani
cinque,cincu
cuore,cori
dieci,deci
dire,diri
domani,dumani
donna,fimmina
dormire,dormiri
dove,undi
due,dui
fare,fari
figlio,figghju
formaggio,casu
gatto,gattu
giorno,jornu
io,eu
latte,latti
lavoro,fatiga
lei,idda
lui,iddu
mangiare,mangiari
mano,manu
mare,mari
moglie,mugghjera
molto,assai
niente,nenti
noi,nui
notte,notti
nove,novi
occhio,occhiu
oggi,oje
otto,ottu
pane,pani
perché,pecchì
piede,pedi
più,cchiù
potere,potiri
quando,quandu
quattro,quattru
quello,chiddu
questo,chistu
ragazza,quatrara
ragazzo,quatraru
sapere,sapiri
sedia,seggia
sei,sìa
sempre,sempi
sette,setti
soldi,sordi
sole,suli
testa,capa
tre,tri
uno,unu
uomo,omu
vedere,vidiri
venire,veniri
vino,vinu
voi,vui
volere,voliri
