italiano,traduzione
acqua,acqua
adesso,mo
andare,jiri
andiamo,jamu
bambino,picciriddu
bella,bedda
bello,beddu
buono,bonu
caldo,caudu
cane,cani
casa,casa
domani,dumani
dove,undi
fratello,frati
freddo,friddu
gatto,gattu
giorno,jornu
grande,randi
io,eu
lavorare,travagghiari
lei,idda
lui,iddu
madre,matri
mangiare,mangiari
mare,mari
moglie,mugghieri
niente,nenti
oggi,oi
padre,patri
pane,pani
perché,picchì
piccolo,nicu
più,cchiù
quando,quandu
quello,chiddu
questo,chistu
ragazzo,figghiolu
soldi,sordi
sole,suli
sorella,soru
vecchio,vecchiu
vino,vinu
