italiano,traduzione
adesso,mo
andare,jì
andiamo,jammo
baciare,vasà
bacio,vaso
bambina,piccerella
bambino,piccerillo
bere,vevere
bocca,vocca
cento,ciento
cinque,cinche
come,comme
come stai,comme staje
cuore,core
dentro,dinto
dieci,diece
dire,dicere
domani,dimane
donna,femmena
dormire,durmì
dove,addò
due,doje
entrare,trasì
fare,fà
finestra,fenesta
fratello,frate
freddo,friddo
fuori,fore
giorno,juorno
giù,abbascio
grande,gruosso
guardare,guardà
ieri,ajere
io,i'
lavorare,faticà
lavoro,fatica
lei,essa
letto,lietto
loro,lloro
lui,isso
là,llà
mai,maje
mamma,mammà
mangiare,magnà
moglie,mugliera
molto,assaje
mondo,munno
noi,nuje
non,nun
nove,nove
occhio,uocchio
orecchio,recchia
otto,otto
padre,pate
parlare,parlà
perché,pecché
piangere,chiagnere
piccolo,piccerillo
piede,pere
piove,chiove
più,cchiù
potere,puté
prendere,piglià
qua,ccà
quando,quanno
quattro,quatto
quello,chillo
questo,chisto
ragazza,guagliona
ragazzi,guagliune
ragazzo,guaglione
salire,saglì
sangue,sanghe
sapere,sapé
scendere,scennere
sedia,seggia
sei,seje
sempre,sempe
sette,sette
so,saccio
soldi,sorde
sopra,'ncoppa
sorella,sora
testa,capa
trovare,truvà
uomo,ommo
uscire,ascì
vecchio,viecchio
vedere,vedé
venire,venì
voi,vuje
volere,vulé
vorrei,vurria
zio,zì
