italiano,traduzione
andare,andèr
avere,avair
bambina,cínna
bambino,cínno
bello,bèl
brutto,brótt
buono,bån
caldo,chèld
cane,can
casa,cà
chiesa,cîṡa
cielo,zîl
città,zitè
cuore,côr
dare,dèr
dieci,dîṡ
dire,dîr
domani,edmàn
fare,fèr
figlia,fiôla
figlio,fiôl
finestra,fnèstra
fratello,fradèl
freddo,fradd
fuoco,fûg
gatto,gât
grande,grand
ieri,ajîr
latte,lât
lavorare,lavurèr
lavoro,lavurîr
letto,lèt
luna,lónna
madre,mèder
mangiare,magnèr
mano,man
mare,mèr
naso,nès
niente,gnínta
nonno,nôn
nove,nôv
nuovo,nôv
occhio,òc
oggi,incû
otto,òt
padre,pèder
pane,pan
parlare,dscårrer
piccolo,pznén
piede,pè
poco,pôc
porta,pôrta
potere,psair
prendere,tôr
quattro,quâter
ragazzo,ragâz
sapere,savair
sedia,scrâna
sei,sî
sette,sèt
soldi,bajûc
sole,såul
sorella,surèla
tanto,tant
tavolo,tèvla
tre,trî
tutto,tótt
uno,ón
uovo,ôv
vecchio,vèc
vedere,vàdder
venire,gnîr
vento,vänt
vino,vén
volere,vlair
