italiano,traduzione
adesso,adeso
andare,andar
andiamo,andemo
bello,bel
bere,bever
brutto,bruto
buono,bon
cane,can
carino,cocolo
casa,casa
domani,doman
dormire,dormir
fare,far
fratello,fradel
freddo,fredo
gatto,gato
grande,grando
guardare,vardar
lavorare,lavorar
lavoro,lavor
madre,mama
mangiare,magnar
mano,man
niente,gnente
nuovo,novo
occhio,ocio
padre,pare
pane,pan
piccolo,picio
prendere,ciapar
ragazza,mula
ragazzo,mulo
sciocchezza,monada
sedia,carega
soldi,bori
sole,sol
sorella,sorela
tavolo,tola
tutto,tuto
uovo,ovo
va bene,va ben
vecchio,vecio
vedere,veder
venire,vegnir
vino,vin
