italiano,traduzione
acqua,aghe
adesso,cumò
albero,arbul
andare,lâ
aprire,vierzi
ascoltare,scoltâ
bambina,frute
bambino,frut
bello,biel
bere,bevi
bocca,bocje
braccio,braç
brutto,brut
buonasera,buine sere
buongiorno,bundì
buono,bon
caldo,cjalt
cane,cjan
capire,capî
casa,cjase
cavallo,cjaval
chiesa,glesie
chiudere,sierâ
ciao,mandi
cielo,cîl
cinque,cinc
città,citât
come stai,cemût statu
comprare,comprâ
cucina,cusine
cuore,cûr
dieci,dîs
dire,dî
domani,doman
donna,femine
dormire,durmî
dovere,scugnî
due,doi
fare,fâ
figlia,fie
figlio,fi
finestra,balcon
fiore,rose
fiume,flum
formaggio,formadi
fratello,fradi
freddo,frêt
fuoco,fûc
gallina,gjaline
gatto,gjat
grande,grant
grazie,graciis
guardare,cjalâ
ieri,îr
latte,lat
lavorare,lavorâ
lavoro,lavôr
letto,jet
luna,lune
madre,mari
mangiare,mangjâ
mano,man
mare,mâr
montagna,mont
mucca,vacje
naso,nâs
neve,nêf
niente,nuie
nonno,nono
nove,nûf
nuovo,gnûf
occhio,voli
oggi,vuê
orecchio,orele
otto,vot
padre,pari
pagare,paiâ
pane,pan
parlare,fevelâ
piazza,place
piccolo,piçul
piede,pît
pioggia,ploie
porta,puarte
potere,podê
prendere,cjoli
quattro,cuatri
ragazza,frute
ragazzo,frut
sapere,savê
sedia,cjadree
sei,sîs
sempre,simpri
sette,siet
soldi,bêçs
sole,soreli
sorella,sûr
strada,strade
tanto,tant
tavolo,taule
testa,cjâf
tre,trê
tutto,dut
uno,un
uomo,om
uovo,ûf
vedere,viodi
venire,vignî
vento,vint
vino,vin
volere,volê
