italiano,traduzione
adesso,mo'
aglio,ajo
andare,annà
andato,annato
andiamo,annamo
bere,beve
buono,bòno
c'è,ce sta
caldo,callo
capire,capì
che vuoi,che vòi
ci,ce
con,co'
dai,daje
dare,dà
di,de
dire,dì
dormire,dormì
dovere,dové
ehi,aò
facciamo,famo
famiglia,famija
figlia,fija
figlio,fijo
forza,daje
gli,je
ieri,jeri
il,er
lavorare,lavorà
mangiare,magnà
meglio,mejo
migliore,mejo
moglie,moje
molto,assai
niente,gnente
non,nun
olio,ojo
per,pe'
portare,portà
prendere,pijà
quello,quer
ragazzino,regazzino
ragazzo,regazzo
sapere,sapé
soldato,sordato
soldi,sordi
stiamo,stamo
testa,capoccia
va bene,vabbè
vedere,vedé
vediamo,vedemo
venire,venì
volere,volé
