italiano,traduzione
acqua,ægua
albero,erbo
andare,anâ
bambino,figgeu
bello,bello
bere,beive
buono,bon
caldo,câdo
cane,can
casa,cà
chiesa,gexa
cielo,çê
cinque,çinque
città,çittæ
cuore,cheu
dieci,dexe
dire,dî
donna,dònna
dormire,dormî
due,doî
fare,fâ
figlia,figgia
figlio,figgio
finestra,barcon
fiore,sciô
fiume,sciumme
fratello,fræ
freddo,freido
fuoco,feugo
gatto,gatto
grazie,graçie
guardare,ammiâ
latte,læte
lavorare,travagiâ
lavoro,travaggio
luna,lunn-a
madre,moæ
mangiare,mangiâ
mano,man
mare,mâ
niente,ninte
nove,nêuve
occhio,euggio
orecchio,oêgia
otto,eutto
padre,poæ
pane,pan
parlare,parlâ
piazza,ciassa
piccolo,piccin
piede,pê
poco,pittin
prendere,piggiâ
ragazza,figgia
ragazzo,figgeu
sedia,carega
sette,sette
soldi,palanche
sole,sô
sorella,seu
strada,stradda
tavolo,toa
tre,trei
uomo,òmmo
uovo,êuvo
vecchio,vegio
vino,vin
