italiano,traduzione
acqua,aqua
adesso,adès
andare,'ndà
bambino,s-cetì
bello,bèl
bere,bìv
bocca,boca
braccio,bras
brutto,bröt
buono,bu
caldo,cólt
cane,cà
casa,cà
cavallo,caàl
chiesa,césa
cinque,sich
cuore,cör
dieci,des
dire,dì
domani,domà
donna,fómna
dormire,durmì
due,du
fare,fà
figlia,fiöla
figlio,fiöl
fiore,fiur
formaggio,formài
fratello,fradèl
freddo,frècc
fuoco,föch
gallina,gaìna
gatto,gat
grande,grand
grazie,gràsie
guardare,ardà
ieri,ier
latte,lacc
lavorare,laurà
luna,lüna
madre,màder
mai,mai
mangiare,maià
mano,mà
mare,mar
montagna,montagna
mucca,aca
naso,nas
niente,negót
nonno,nóno
nove,nöf
nuovo,növ
occhio,öcc
oggi,incö
orecchio,orègia
otto,òt
padre,pàder
pane,pà
piede,pé
poco,póch
prendere,ciapà
quattro,quàter
ragazza,s-cèta
ragazzo,s-cèt
sedia,cadréga
sei,ses
sette,sèt
soldi,sólcc
sole,sul
sorella,sorèla
strada,strada
tre,tri
tutto,töt
uno,ü
uomo,òm
uovo,öf
vecchio,vècc
venire,vegnì
vento,vènt
vino,ì
