italiano,traduzione
a,a
a lot,fìs
abbaiare,baià
abbassare,sbasà
abbassarsi,sbasàs
abbastanza,asé
abbazia,abasia
abbracciare,brasà sö
abituato,Üs
accidenti,òstrega
accompagnare,menà
acqua,aqua
acquafredda,acuafrèda
adro,ader
aggeggio,argàgn
aglio,ai
agnosine,agnózen
alfianello,alfianèl
alito,fiàt
alzare,lià
alzarsi,lià sö
amore,amùr
ancora,amò
ancora una volta,amò turna
andare,andà
andato a male,pasàt
andiamo,nöm
anfo,anf
angolo terme,angól
anima,anima
anitra,nèdra
annegare,negà
anno,an
appassito,pasàt
appendere,tacà vià
apprezzare,uzmà
arancia,arancia
arancione,arancio
arco,ólta
argento,arzènt
aria,aria
arrabbiare,arabià
arrabbiarsi,arabiàs
arrivare,rià
arrosto,aròst
artogne,artògne
attaccare,tacà
avere,iga
avere una relazione,andà
azzano mella,asà
baciare,bazà
bagnolo mella,bagnól
bagolino,bagulì
baita,baita
balbettare,tartaià
balcone,balcù
balla,bala
balla di fieno,bala de fé
barba,barba
barbariga,barbariga
barghe,barghe
bassa bresciana,basa
bassano bresciano,basà
basso,bas
battendo una palla da tennis con le mani,bala
bedizzole,bedisöle
bello,bèl
bere,beèr
berlingo,berlenc
berzo demo,bèrs dém
berzo inferiore,bers de sóta
bianco,biànc
bidone,tóla
bienno,bièn
bione,biù
birichino,balòs
bisogna,besogna
blu,blö
borgo san giacomo,borg san giacom
borgosatollo,borsadól
borno,buren
botta,bòta
botticino,butizì
botto,bòt
bovegno,böegn
bovezzo,boès
braccio,bras
brandico,brandìc
braone,braù
breno,bré
brescia,brèsa
bresciano,bresà
briccone,barba
brigante,barba
brione,briù
brutta figura,tóla
brutto,bröt
bucare,sbüzà
bugia,bala
burattino,giüpì
cadere,borlà
cagare,cagà
caino,caì
calabrone,martinèl
calcinato,calsinàt
calcio,pesada
caldo,calt
calesse,biròcc
callo,cal
calvagese della riviera,calvagés
calvisano,calvisà
calza,calsèt
calza fatta in casa,scalfarèt
cancello,restèl
cane,ca
capo,capo
capo di ponte,có de pónt
capovalle,capovalle
capriano del colle,cavrià
capriola,pirlo
capriolo,cavriöl
carciofo,articiòc
caro,car
carpenedolo,carpenédol
carro,car
casa,ca'
caso,cazo
caspita,òstrega
castegnato,castegnàt
castel mella,castèl mèla
castelcovati,castelcoàt
castenedolo,castenéol
casto,cast
castrezzato,castrezàt
catarro,smargàgn
cavallo,caàl
cavatappi,tirabusù
cazzago san martino,casàc
cazzata,casada
cazzo,caso
cedegolo,sedégol
cellatica,seladèga
cento,sènt
ceppo,sòc
cerchio,sércol
cerveno,cervé
ceto,sét
che,che
che coglioni,che coióni
che palle,che bala
chiari,ciar
chiaro,ciar
chiavare,ciaà
ciabatta,saàta
ciabatta chiusa davanti,söbra
cianfrusaglia,barbài
cielo,cél
cigole,sìgole
ciliegia,seréza
cimbergo,simbèrc
cinque,sic
ciotola,bazia
cividate camuno,siìda
cià,gà
coccaglio,cocài
coda,cua
coglioni,coióni
collebeato,cobiàt
collio,còi
cologne,cològne
comezzano-cizzago,comesà-sisàc
comiciare,tacà
comune,cümü
concesio,conés
coniglio,conécc
contare,cöntà
cornamusa lombarda con due soli bordoni,baghèt
corte franca,corte franca
corteno golgi,córten
corto,cürt
corzano,corsà
cosa,laùr
cucchiaio,cügià
culo,cül
d'aglio,d'ai
da,de
darfo boario terme,darf-boare
davanti,denàcc
davanti a,denàcc de
dello,dèl
desenzano del garda,dezensà
devo,gó
devo andare,gó de na
di,de
di solito,de sòlit
dialetto,dialèt
diciannove,disnöf
diciassette,dizisèt
diciotto,disdòt
dieci,dés
dire,di
dispensa pensile con zanzariera,moscaröla
ditale,didàl
dito,dit
divano,otomana
dizionario,disionare
dodici,dudes
domani,domà
dopo,dòpo
dopodomani,pasàt domà
dover,iga de
dovere,düzì
due,dò
duro,dür
e,e
edolo,édol
erbusco,erbósc
esine,ézen (éden)
falegname,maringù
fare,fa
ferro da stiro,suprisì
fiato,fiàt
fidanzata,muruza
fidanzate,muruze
fiesse,fiès
filo,réf
flero,flér
forchetta,perù
fragola,maola
freddo,frèt
fregare,ciaà
fretta,frèsa
frustino fatto con fuscelli,stròpa
funerale,óbet
gambara,gambara
gardone riviera,gardù söl lac
gardone val trompia,gardù val trómpia
gargnano,gargnà
gavardo,gaàrt
ghedi,ghét
giallo,zalt
gianico,gianèc
gioco del calcio,fóbal
gioco praticato in piazza specie in al rompia,bala
giorno,dé
giovane,zuen
girare,girà
giù,zó
gli abitanti della provincia,i Brèsa
gomito,gombèt
gottolengo,ótalènc
gradino,panèl
grande,grant
grasso,gras
grembiule,bigaröl
groppo,bigol
grosso,gròs
gussago,güsàc
ha,gà
ha sbagliato un'altra volta,l'è turnàt a sbaglià
idea,idèa
idro,ider
ieri,giér
il,el
immaturo,malmadür
in,en
in capo al mondo,en có al mónt
incollare,tacà
incudine,incüzen
inculare,encülà
inculata,encülàt
inculato,encülàt
insieme,ensèma
intero,entréc
io,mé
io vado a casa,me 'ndó a ca'
irma,irma
iseo,izé
isorella,izorèla
