italiano,traduzione
abbiamo,emm
acino,pinciroeu
acqua,aqua
addetto al trasporto e seppellimento di animali morti in città,ciocchin
addosso,addoss
adesso,adess
albero,alber
albicocca,la mognaga
amico,zio
andare,andà
approvazione,top
aprire,dervì
arancia,el narànz
arrogante,bauscia
ascoltare,scoltà
avere,avé
avete,hii
baciare con la lingua,limonare
bello,bell
bere,bev
bocca,la bocca
braccio,el brasc
brutto,brutt
buona fortuna,in bocca al lupo
buongiorno,bondì
buono,bon
cadere,borlà giò
caldo,cald
cane,can
caos,casino
capire,capì
casa,la cà
cavallo,cavall
che sei nei cieli,che te seet in ciel
chiudere,sarà su
ciao,ciao
cieli,ciel
cielo,ciel
ciliegia,la scirésa
cinque,cinch
come in cielo,come in ciel
come noi li rimettiamo ai nostri debitori,inscì come anca num ghe perdonom a quij che n'hann faa on tòrt
come stai,come te steet
compagno,zio
comprare,crompà
cosa bella in apparenza,ma di poco valore
così in terra,inscì anca in su la terra
così sia,e che 'l sia inscì
culo,el cuu
cuore,el coeur
dacci oggi il nostro pane quotidiano,dann incoeu el nòster pan de tucc i dì
dare,dà
denaro,danee
dieci,des
dire,dì
domani,doman
donna,dònna
dormire,dormì
due,duu
duro,dur
e non ci indurre in tentazione,e menon minga in de la tentazion
e rimetti a noi i nostri debiti,e perdonon i nòster peccaa
eccezionale,paura
essere,vess (
fantastico,paura
fare,fà
fastidio,sbatti
fico,el figh
figlia,tosa
figlio,fioeu
finestra,finestra
fiore,fior
fiume,fiumm
formaggio,formagg
fragola,la magiostra
fratello,fradell
freddo,frecc
fuoco,foeugh
gallina,gaìnna
gamba,la gamba
gatto,gatt
grande,grand
guardare,vardà
hai,hee
hanno,han
ho,hoo
idiota,pirla
ieri,ier
io,mì
lampone,el fambrôs
lanugine superiore del seme di alcune piante,pappi
lavorare,laorà
lei,lee
letto,lett
loro,lor
luce,el ciar
lui,lù
luna,luna
ma liberaci dal male,ma liberon del maa
mai,mai
male,maa
mandarino,el mandarin
mangiare,mangià
mano,man
mare,mar
mela,el pòmm
molto,di brutto
montagna,montagna
mora,la mòra
naso,nas
nespola,nèspola
niente,nagott
nocciola,la niscioeula
noce,la nôs
noi,num
nome,nòmm
non preoccuparti,tranqui
nove,noeuv
nuovo,noeuv
occhio,l'oeucc
odore,odor
oggi,incoeu
ok,top
olona,ulona
orecchio,oregia
ottimo,top
otto,vòtt
oziare,cazzeggiare
padre nostro,pader nòster
pagare,pagà
pane,pan
parlare,parlà
peccati,peccaa
pera,el per
perdente,babbo
perdere tempo,cazzeggiare
pesca,el pèrsegh
piccolo,piscinin
piede,pè
pinolo,pignoeu
poco,pocch
porta,porta
potere,podè
pranzo al sacco,la schiscetta
prendere,ciapà
prezzemolo,l'erborin
prudere,spiurì
prugna,la brugna
quattro,quatter
quotidiano,tucc i dì
ragazza,tosa
ragazzo,fioeu
regno,regn
regoli appiccati con funicelle ai licci del pettine,càlcor
ribes,el ribes
rimettersi,ripigliarsi
riprendersi,ripigliarsi
sapere,savè
schiacciare,spetascià
schiena,la s'cenna
scivolare,scarligà
seccatura,sbatti
sedano,sèller
sedia,cadrega
sei,see
sempre,semper
sette,sett
sia fatta la tua volontà,che 'l sia faa 'l tò vorè
sia santificato il tuo nome,che 'l sia faa sant el tò nòmm
siamo,semm
siete,sii
signora,sciura
soldi,danee
sole,sô
sono,son
sorella,sorella
spocchioso,bauscia
stai tranquillo,tranqui
stupido,pirla
tamarro,zarro
tantissimo,di brutto
tanto,tant
tavolo,tavol
terra,terra
testa,el coo
tetto,tècc
traffico,casino
tre,trii
truzzo,zarro
tu,te
tutto,tutt
un sacco,un botto
una figata,tanta roba
uno,vun
uomo,òmm
uovo,l'oeuf
uva,l'uga
va bene,va ben
vecchio,vègg
vedere,vedè
venga il tuo regno,che 'l vegna el tò regn
venire,vegnì
vento,vent
vino,vin
voglio andare al mercato,vöri andà al mercaa
voi,vujolter
volere,vorè
volontà,vorè
è,l'è
