italiano,traduzione
acqua,acque
adesso,mo
andare,jì
bello,belle
brutto,brutte
casa,case
così,accuscì
domani,dumane
donna,femmene
dormire,durmì
dove,addò
figlio,figlie
formaggio,casce
fratello,frate
freddo,fridde
giorno,jurne
grande,granne
ieri,ajére
lavorare,fatijà
mamma,mamme
mangiare,magnà
mondo,munne
niente,niende
padre,tate
pane,pane
papà,tate
perché,pecché
più,cchiù
quando,quanne
ragazza,uagliole
ragazzo,uaglione
soldi,sorde
sorella,sore
testa,cape
vecchio,vecchie
vino,vine
