italiano,traduzione
acqua,eva
adesso,adess
andare,andé
aprire,deurbe
ascoltare,scoté
bello,bel
bene,bin
bere,beive
bocca,boca
braccio,brass
brutto,brut
buongiorno,bondì
buono,bon
caldo,càud
cane,can
capire,capì
casa,ca
cavallo,caval
chiesa,gesia
chiudere,saré
ciao,cerea
cinque,sinch
comprare,caté
cuore,cheur
dare,dé
dieci,des
dire,dì
domani,doman
donna,fomna
dormire,deurme
due,doi
fare,fé
figlia,fija
figlio,fieul
finestra,fnestra
fiore,fior
formaggio,formagg
fratello,frel
freddo,frèid
fuoco,feu
gallina,galin-a
gamba,gamba
gatto,gat
grande,gròss
grazie,mersì
guardare,vardé
ieri,jer
lavorare,travajé
lavoro,travaj
letto,let
luna,lun-a
madre,mare
mangiare,mangé
mano,man
mare,mar
montagna,montagna
mucca,vaca
naso,nas
neve,fiòca
niente,gnente
nove,neuv
nuovo,neuv
occhio,euj
oggi,ancheuj
orecchio,orija
otto,eut
padre,pare
pagare,paghé
pane,pan
parlare,parlé
piazza,piassa
piccolo,cit
piede,pé
pioggia,pieuva
poco,pòch
porta,pòrta
prendere,pijé
quattro,quatr
ragazza,fija
sedia,cadrega
sei,ses
sempre,sempe
sette,set
soldi,sòld
sole,sol
sorella,seur
strada,stra
tanto,tant
tavolo,tàula
tutto,tut
uovo,euv
va bene,va bin
vecchio,vej
vedere,vëdde
venire,vnì
vento,vent
vino,vin
