italiano,traduzione
acqua,àcua
adesso,immoi
albero,matta
andare,andai
anno,annu
aprire,aberri
ascoltare,ascurtai
bambina,pipia
bambino,pipiu
bello,bellu
bere,bufai
bocca,buca
brutto,lèggiu
buono,bonu
cane,cani
capire,cumprendi
casa,domu
cavallo,cuaddu
cento,centu
che cosa,ita
chi,chini
chiesa,crèsia
chiudere,serrai
ciao,ciau
cielo,celu
cinque,cincu
città,citadi
come stai,comenti stais
comprare,comprai
cosa,ita
cuore,coru
dare,donai
dieci,dexi
dire,nai
domani,cras
donna,fèmina
dormire,dormiri
dove,aundi
due,duus
entrare,intrai
fare,fai
figlia,filla
figlio,fillu
finestra,fentana
fiore,frori
fiume,frùmini
formaggio,casu
fratello,fradi
freddo,fridu
fuoco,fogu
gallina,pudda
gamba,camba
gatto,gatu
giorno,dì
grande,mannu
grazie,gràtzias
guardare,castiai
ieri,ariseu
io,deu
latte,lati
lavorare,traballai
lavoro,traballu
lei,issa
letto,letu
lui,issu
luna,luna
madre,mama
mangiare,papai
mano,manu
mare,mari
molto,meda
mondo,mundu
montagna,monti
mucca,baca
naso,nasu
niente,nudda
noi,nosu
nonno,ajaju
notte,noti
nove,noi
nuovo,nou
occhio,ogu
orecchio,origa
otto,otu
padre,babu
pagare,pagai
pane,pani
parlare,fueddai
parola,fueddu
perché,poita
piazza,pratza
piccolo,piticu
piede,pei
più,prus
poco,pagu
porta,porta
potere,podi
prendere,pigai
quando,candu
quattro,cuatru
quello,cussu
questo,custu
ragazza,picioca
ragazzo,piciocu
sangue,sànguni
sapere,sciri
sedia,cadira
sei,ses
sempre,sempri
sette,seti
so,sciu
soldi,dinai
sole,soli
sorella,sorri
strada,bia
tanto,meda
tavolo,mesa
testa,conca
tre,tres
tu,tui
tutto,totu
uno,unu
uomo,òmini
uovo,ou
uscire,bessiri
vecchio,bèciu
vedere,biri
venire,benni
vento,bentu
vino,binu
voi,bosatrus
volere,bolli
