italiano,traduzione
acqua,abba
adesso,como
albero,àrvore
andare,andare
bambina,pitzinna
bambino,pitzinnu
bello,bellu
bere,bìere
bocca,buca
brutto,feu
buono,bonu
cane,cane
casa,domo
cavallo,caddu
cento,chentu
che cosa,ite
chi,chie
chiesa,cheja
cielo,chelu
cinque,chimbe
cuore,coro
dieci,deghe
dire,nàrrere
domani,cras
dormire,dormire
dove,inue
due,duos
fare,fàghere
fiore,frore
fiume,riu
formaggio,casu
fratello,frade
freddo,frittu
fuoco,fogu
gallina,pudda
giorno,die
grande,mannu
grazie,gràtzias
ieri,eris
io,deo
lavorare,traballare
lavoro,traballu
lei,issa
lui,isse
luna,luna
madre,mama
mai,mai
mangiare,mandigare
mano,manu
mare,mare
molto,meda
mucca,baca
niente,nudda
noi,nois
nonno,jaju
nove,noe
nuovo,nou
occhio,oju
otto,oto
padre,babbu
pane,pane
parlare,faeddare
pecora,berbeghe
perché,proite
piccolo,minore
piede,pede
più,prus
poco,pagu
potere,pòdere
prendere,leare
quando,cando
quattro,bator
ragazza,pitzinna
ragazzo,pitzinnu
sangue,sàmbene
sapere,ischire
sei,ses
sempre,semper
sette,sete
so,isco
sole,sole
sorella,sorre
strada,carrela
testa,conca
tre,tres
tu,tue
tutto,totu
uno,unu
uomo,òmine
vecchio,betzu
vedere,bìdere
venire,bènnere
vento,bentu
vino,binu
voi,bois
volere,chèrrere
