italiano,traduzione
andare,jiri
andiamocene,ammuninni
aprire,gràpiri
bella,bedda
bello,beddu
bere,bìviri
buono,bonu
comprare,accattari
cuore,cori
dai,amunì
dire,diri
domani,dumani
donna,fìmmina
dove,unni
fare,fari
figlia,figghia
figlio,figghiu
forza,amunì
fratello,frati
freddo,friddu
grande,granni
guarda,talè
guardare,taliari
lavorare,travagghiari
lavoro,travagghiu
lei,idda
lui,iddu
madre,matri
mangiare,manciari
mare,mari
molto,assai
mondo,munnu
niente,nenti
padre,patri
pane,pani
parlare,parrari
perché,picchì
piccolo,nicu
più,cchiù
poco,picca
prendere,pigghiari
quando,quannu
quello,chiddu
questo,chistu
ragazza,carusa
ragazzi,carusi
ragazzo,carusu
sapere,sapiri
so,sacciu
soldi,picciuli
sole,suli
sorella,soru
uscire,nèsciri
vedere,vìdiri
venire,vèniri
vino,vinu
volere,vuliri
