italiano,traduzione
acqua,acqua
amico,mbare
andare,jiri
bambino,picciriddu
bella,bedda
bello,beddu
buono,bonu
caldo,caudu
cane,cani
casa,casa
compare,mbare
domani,dumani
dove,unni
fratello,frati
freddo,friddu
gatto,jattu
grande,granni
guardare,taliari
lavorare,travagghiari
lavoro,travagghiu
madre,matri
mangiare,manciari
mare,mari
niente,nenti
nuovo,novu
padre,patri
pane,pani
perché,picchì
piccolo,nicu
più,cchiù
quando,quannu
ragazza,carusa
ragazzo,carusu
soldi,picciuli
sole,suli
sorella,soru
va bene,va beni
vecchio,vecchiu
vino,vinu
