italiano,traduzione
albero,àrvulu
andare,jiri
aprire,gràpiri
bacio,vasuni
bambina,picciridda
bambino,picciriddu
bella,bedda
bello,beddu
bere,bìviri
bocca,vucca
braccio,vrazzu
brutto,bruttu
buono,bonu
caldo,càudu
cane,cani
capire,capiri
cavallo,cavaddu
cento,centu
chi,cu
chiesa,cresia
cinque,cincu
come,comu
comprare,accattari
cuore,cori
dieci,deci
dire,diri
domani,dumani
dormire,dòrmiri
dove,unni
due,dui
entrare,tràsiri
fare,fari
figlia,figghia
figlio,figghiu
fiore,ciuri
fiume,ciumi
formaggio,tumazzu
fratello,frati
freddo,friddu
gallina,jaddina
gamba,jamma
gatto,jattu
giorno,jornu
grande,granni
guardare,taliari
ieri,aieri
io,iu
lavorare,travagghiari
lavoro,travagghiu
lei,idda
letto,lettu
loro,iddi
lui,iddu
luna,luna
là,ddà
madre,matri
mai,mai
mangiare,manciari
mano,manu
mare,mari
molto,assai
mondo,munnu
montagna,muntagna
morire,mòriri
mucca,vacca
naso,nasu
neve,nivi
niente,nenti
noi,nuàutri
nonna,nanna
nonno,nannu
notte,notti
nove,novi
nuovo,novu
occhio,occhiu
orecchio,aricchia
otto,ottu
padre,patri
pagare,pagari
pane,pani
parlare,parrari
perché,picchì
piangere,chiànciri
piazza,chiazza
piccolo,nicu
piede,pedi
piove,chiovi
più,cchiù
poco,picca
prendere,pigghiari
qua,ccà
quando,quannu
quattro,quattru
quello,chiddu
questo,chistu
ragazza,picciotta
ragazzo,picciottu
ridere,rìdiri
salire,acchianari
sangue,sangu
sapere,sapiri
scendere,scìnniri
sedia,seggia
sei,sei
sempre,sempri
sette,setti
so,sacciu
soldi,picciuli
sole,suli
sorella,soru
strada,strata
tanto,tantu
tavolo,tàvulu
tre,tri
tutto,tuttu
uno,unu
uovo,ovu
uscire,nèsciri
vecchio,vecchiu
vedere,vìdiri
venire,vèniri
vento,ventu
vino,vinu
voi,vuàutri
volere,vuliri
zio,zù
