italiano,traduzione
acqua,èga
albero,piènta
bello,bel
brutto,burt
buongiorno,bon dì
cane,cian
casa,cèsa
cavallo,ciaval
dieci,diesc
domani,doman
donna,fémena
due,doi
fiore,fior
formaggio,formai
fuoco,fech
gallina,gialina
gatto,giat
grande,grant
grazie,dilan
io,ge
latte,lat
lavorare,lurèr
luna,luna
madre,mère
mangiare,magnèr
mela,pom
neve,neif
nuovo,nef
oggi,anché
otto,ot
pane,pan
pera,peir
piccolo,picol
quattro,cater
sei,sie
sette,set
sole,soreie
stella,steila
tre,trei
uno,un
uomo,om
vino,vin
