italiano,traduzione
acqua,aqua
andare,nar
aprire,verzer
bambina,popa
bambino,popo
bello,bel
bere,béver
brutto,brut
buono,bon
cane,can
casa,cà
cavallo,caval
chiesa,cesa
chiudere,serar
comprare,comprar
cuore,cor
dare,dar
dire,dir
domani,doman
donna,dona
dormire,dormir
fare,far
figlio,fiol
formaggio,formai
fratello,fradel
freddo,fret
fuoco,fogo
gallina,galina
gatto,gat
guardare,vardar
lavorare,laorar
luna,luna
madre,mama
mangiare,magnar
mano,man
mucca,vaca
naso,nas
niente,gnent
nonno,nono
nuovo,nof
occhio,ocio
oggi,ancoi
orecchio,recia
padre,pare
pane,pan
parlare,parlar
piccolo,picol
prendere,ciapar
ragazza,putela
ragazzo,putel
sapere,saver
sole,sol
sorella,sorela
uovo,of
vecchio,vecio
vedere,veder
venire,vegnir
vino,vin
volere,voler
