italiano,traduzione
acqua,acua
andare,'ndar
aprire,verzar
bambino,putèo
bello,beo
bere,bévar
buono,bon
cane,can
casa,casa
chiudere,serar
dire,dir
domani,doman
donna,dòna
fare,far
formaggio,formajo
fratello,fradeo
fuoco,fogo
gatto,gato
guardare,vardar
lavorare,laorar
luna,luna
madre,mare
mamma,mama
mangiare,magnar
mano,man
niente,gnente
nuovo,novo
occhio,ocio
oggi,uncò
orecchio,recia
padre,pare
pane,pan
piccolo,pìcoeo
pioggia,piova
prendere,ciapar
ragazza,tosa
ragazzo,toso
sedia,carega
soldi,schèi
sole,sol
tavolo,tòea
vecchio,vecio
vedere,védar
vino,vin
