italiano,traduzione
acqua,acua
albero,àlbaro
andare,'ndar
aprire,vèrzar
ascoltare,scoltar
bambino,putèło
bello,bèo
bere,bévar
braccio,brasso
brutto,bruto
buongiorno,bondì
buono,bon
caldo,caldo
cane,can
capire,capir
casa,casa
cavallo,cavało
chiudere,serar
ciao,ciao
cinque,sinque
comprare,cronpar
cuore,cuor
dieci,diese
dire,dir
domani,doman
donna,dòna
dormire,dormir
due,do
fare,far
figlia,fia
figlio,fio
fiore,fior
formaggio,formajo
fratello,fradeło
freddo,fredo
fuoco,fogo
gallina,gaìna
gatto,gato
grande,grando
grazie,grasie
guardare,vardar
lavorare,laorar
lavoro,laoro
letto,leto
luna,luna
madre,mare
mangiare,magnar
mano,man
mare,mar
mucca,vaca
niente,gnente
nonno,nono
nuovo,novo
occhio,ocio
orecchio,recia
otto,oto
padre,pare
pagare,pagar
pane,pan
parlare,parlar
piccolo,pìcoło
pioggia,piova
poco,poco
prendere,ciapar
quattro,quatro
ragazza,tosa
ragazzo,toso
sapere,saver
sedia,carega
sei,sie
sette,sete
soldi,schèi
sole,sol
sorella,sorela
tavolo,tòła
tre,tre
tutto,tuto
uno,un
uovo,vovo
va bene,va ben
vecchio,vecio
vedere,védar
vino,vin
volere,voler
